identifier,objectid,parentid,title,creator,date,date_is_approximate,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
PAColl-10825-1-001,PAColl-10825-1-001,,St Andrews Road,Heritage Studios,,,,,,,,Alexander Turnbull Library,multple,,,,,multiple,,/objects/small/PAColl-10825-1-001_recto.jpg,/objects/thumb/PAColl-10825-1-001_recto.jpg,,
PAColl-10825-1-001_recto,PAColl-10825-1-001_recto,PAColl-10825-1-001,St Andrews Road,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-001_recto.jpg,/objects/small/PAColl-10825-1-001_recto.jpg,/objects/thumb/PAColl-10825-1-001_recto.jpg,,
PAColl-10825-1-001_verso,PAColl-10825-1-001_verso,PAColl-10825-1-001,,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-001_verso.jpg,/objects/small/PAColl-10825-1-001_verso.jpg,/objects/thumb/PAColl-10825-1-001_verso.jpg,,
PAColl-10825-1-002,PAColl-10825-1-002,,"Barron's, St Andrews Road",Heritage Studios,,,,"Photograph showing a side view of the exterior wall of a house. Photographer unidentified. Annotation on reverse of print reads ""Barrons St Andrews Rd"". ",,,,Alexander Turnbull Library,multple,,,,,multiple,,/objects/small/PAColl-10825-1-002_recto.jpg,/objects/thumb/PAColl-10825-1-002_recto.jpg,,
PAColl-10825-1-002_recto,PAColl-10825-1-002_recto,PAColl-10825-1-002,"Barron's, St Andrews Road",Heritage Studios,,,,"Photograph showing a side view of the exterior wall of a house. Photographer unidentified. Annotation on reverse of print reads ""Barrons St Andrews Rd"". ",,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-002_recto.jpg,/objects/small/PAColl-10825-1-002_recto.jpg,/objects/thumb/PAColl-10825-1-002_recto.jpg,,
PAColl-10825-1-002_verso,PAColl-10825-1-002_verso,PAColl-10825-1-002,,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-002_verso.jpg,/objects/small/PAColl-10825-1-002_verso.jpg,/objects/thumb/PAColl-10825-1-002_verso.jpg,,
PAColl-10825-1-003,PAColl-10825-1-003,,Aerial photograph with annotations,Heritage Studios,,,,"Aerial photograph with annotations on print giving scale and other information. Annotation on reverse of print reads ""Snapfinger"". ",,,,Alexander Turnbull Library,compound_object,,,,,multiple,,/objects/small/PAColl-10825-1-003_recto.jpg,/objects/thumb/PAColl-10825-1-003_recto.jpg,,
PAColl-10825-1-003_recto,PAColl-10825-1-003_recto,PAColl-10825-1-003,Aerial photograph with annotations,Heritage Studios,,,,"Aerial photograph with annotations on print giving scale and other information. Annotation on reverse of print reads ""Snapfinger"". ",,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-003_recto.jpg,/objects/small/PAColl-10825-1-003_recto.jpg,/objects/thumb/PAColl-10825-1-003_recto.jpg,,
PAColl-10825-1-003_verso,PAColl-10825-1-003_verso,PAColl-10825-1-003,,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-003_verso.jpg,/objects/small/PAColl-10825-1-003_verso.jpg,/objects/thumb/PAColl-10825-1-003_verso.jpg,,
PAColl-10825-1-004,PAColl-10825-1-004,,Waikaremoana ,Heritage Studios,,,Three colour photographic prints adhered to a piece of card.,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-004.jpg,/objects/small/PAColl-10825-1-004.jpg,/objects/thumb/PAColl-10825-1-004.jpg,,
