identifier,objectid,title,type,format,object_location,image_thumb,image_small
PAColl-10825-1-001_recto,pacoll-10825-1-001_recto,PAColl-10825-1-001_recto,image,image/jpeg,/objects/PAColl-10825-1-001_recto.jpg,/objects/thumb/PAColl-10825-1-001_recto.jpg,/objects/small/PAColl-10825-1-001_recto.jpg
PAColl-10825-1-001_verso,pacoll-10825-1-001_verso,PAColl-10825-1-001_verso,image,image/jpeg,/objects/PAColl-10825-1-001_verso.jpg,/objects/thumb/PAColl-10825-1-001_verso.jpg,/objects/small/PAColl-10825-1-001_verso.jpg
PAColl-10825-1-002_recto,pacoll-10825-1-002_recto,PAColl-10825-1-002_recto,image,image/jpeg,/objects/PAColl-10825-1-002_recto.jpg,/objects/thumb/PAColl-10825-1-002_recto.jpg,/objects/small/PAColl-10825-1-002_recto.jpg
PAColl-10825-1-002_verso,pacoll-10825-1-002_verso,PAColl-10825-1-002_verso,image,image/jpeg,/objects/PAColl-10825-1-002_verso.jpg,/objects/thumb/PAColl-10825-1-002_verso.jpg,/objects/small/PAColl-10825-1-002_verso.jpg
PAColl-10825-1-003_recto,pacoll-10825-1-003_recto,PAColl-10825-1-003_recto,image,image/jpeg,/objects/PAColl-10825-1-003_recto.jpg,/objects/thumb/PAColl-10825-1-003_recto.jpg,/objects/small/PAColl-10825-1-003_recto.jpg
PAColl-10825-1-003_verso,pacoll-10825-1-003_verso,PAColl-10825-1-003_verso,image,image/jpeg,/objects/PAColl-10825-1-003_verso.jpg,/objects/thumb/PAColl-10825-1-003_verso.jpg,/objects/small/PAColl-10825-1-003_verso.jpg
PAColl-10825-1-004,pacoll-10825-1-004,PAColl-10825-1-004,image,image/jpeg,/objects/PAColl-10825-1-004.jpg,/objects/thumb/PAColl-10825-1-004.jpg,/objects/small/PAColl-10825-1-004.jpg
PAColl-10825-1-005_recto,pacoll-10825-1-005_recto,PAColl-10825-1-005_recto,image,image/jpeg,/objects/PAColl-10825-1-005_recto.jpg,/objects/thumb/PAColl-10825-1-005_recto.jpg,/objects/small/PAColl-10825-1-005_recto.jpg
PAColl-10825-1-005_verso,pacoll-10825-1-005_verso,PAColl-10825-1-005_verso,image,image/jpeg,/objects/PAColl-10825-1-005_verso.jpg,/objects/thumb/PAColl-10825-1-005_verso.jpg,/objects/small/PAColl-10825-1-005_verso.jpg
PAColl-10825-1-006,pacoll-10825-1-006,PAColl-10825-1-006,image,image/jpeg,/objects/PAColl-10825-1-006.jpg,/objects/thumb/PAColl-10825-1-006.jpg,/objects/small/PAColl-10825-1-006.jpg
PAColl-10825-1-007,pacoll-10825-1-007,PAColl-10825-1-007,image,image/jpeg,/objects/PAColl-10825-1-007.jpg,/objects/thumb/PAColl-10825-1-007.jpg,/objects/small/PAColl-10825-1-007.jpg
PAColl-10825-1-008,pacoll-10825-1-008,PAColl-10825-1-008,image,image/jpeg,/objects/PAColl-10825-1-008.jpg,/objects/thumb/PAColl-10825-1-008.jpg,/objects/small/PAColl-10825-1-008.jpg
PAColl-10825-1-009_recto,pacoll-10825-1-009_recto,PAColl-10825-1-009_recto,image,image/jpeg,/objects/PAColl-10825-1-009_recto.jpg,/objects/thumb/PAColl-10825-1-009_recto.jpg,/objects/small/PAColl-10825-1-009_recto.jpg
PAColl-10825-1-009_verso,pacoll-10825-1-009_verso,PAColl-10825-1-009_verso,image,image/jpeg,/objects/PAColl-10825-1-009_verso.jpg,/objects/thumb/PAColl-10825-1-009_verso.jpg,/objects/small/PAColl-10825-1-009_verso.jpg
PAColl-10825-1-010,pacoll-10825-1-010,PAColl-10825-1-010,image,image/jpeg,/objects/PAColl-10825-1-010.jpg,/objects/thumb/PAColl-10825-1-010.jpg,/objects/small/PAColl-10825-1-010.jpg
PAColl-10825-1-011_recto,pacoll-10825-1-011_recto,PAColl-10825-1-011_recto,image,image/jpeg,/objects/PAColl-10825-1-011_recto.jpg,/objects/thumb/PAColl-10825-1-011_recto.jpg,/objects/small/PAColl-10825-1-011_recto.jpg
PAColl-10825-1-011_verso,pacoll-10825-1-011_verso,PAColl-10825-1-011_verso,image,image/jpeg,/objects/PAColl-10825-1-011_verso.jpg,/objects/thumb/PAColl-10825-1-011_verso.jpg,/objects/small/PAColl-10825-1-011_verso.jpg
PAColl-10825-1-012_recto,pacoll-10825-1-012_recto,PAColl-10825-1-012_recto,image,image/jpeg,/objects/PAColl-10825-1-012_recto.jpg,/objects/thumb/PAColl-10825-1-012_recto.jpg,/objects/small/PAColl-10825-1-012_recto.jpg
PAColl-10825-1-012_verso,pacoll-10825-1-012_verso,PAColl-10825-1-012_verso,image,image/jpeg,/objects/PAColl-10825-1-012_verso.jpg,/objects/thumb/PAColl-10825-1-012_verso.jpg,/objects/small/PAColl-10825-1-012_verso.jpg
PAColl-10825-1-013_recto,pacoll-10825-1-013_recto,PAColl-10825-1-013_recto,image,image/jpeg,/objects/PAColl-10825-1-013_recto.jpg,/objects/thumb/PAColl-10825-1-013_recto.jpg,/objects/small/PAColl-10825-1-013_recto.jpg
PAColl-10825-1-013_verso,pacoll-10825-1-013_verso,PAColl-10825-1-013_verso,image,image/jpeg,/objects/PAColl-10825-1-013_verso.jpg,/objects/thumb/PAColl-10825-1-013_verso.jpg,/objects/small/PAColl-10825-1-013_verso.jpg
